id,best_item,ratings,num_of_specs,num_of_tags,num_of_users,avg_usage_time,num_of_reviews,sum_of_recommend,avg_review_len
2820,1,3,5,18,918,737.7516,2,0,526.5000
2840,0,2,2,11,435,31.9816,0,0,0.0000
2850,0,2,2,10,436,2.2959,1,-1,97.0000
2870,0,-2,7,17,268,1189.2388,12,-4,638.6667
2900,0,2,2,3,77,73.5195,0,0,0.0000
2910,0,3,1,3,81,187.8519,0,0,0.0000
2920,0,2,4,3,79,54.2911,0,0,0.0000
2990,1,3,1,16,803,328.7447,6,6,283.0000
3010,0,2,2,2,88,63.4205,0,0,0.0000
3020,0,3,3,13,304,94.2204,0,0,0.0000
3050,0,0,2,2,69,19.4348,1,1,527.0000
3130,0,3,2,5,584,80.8288,0,0,0.0000
3170,0,3,2,11,520,220.9865,1,1,142.0000
3230,0,-2,2,4,95,44.4211,0,0,0.0000
3260,0,0,1,5,163,31.8405,1,1,384.0000
3270,0,2,2,8,580,31.6017,0,0,0.0000
3300,0,3,1,4,122,221.6639,0,0,0.0000
3310,0,3,1,5,89,98.6854,0,0,0.0000
3320,0,4,1,13,272,173.2279,5,5,104.8000
3330,0,3,1,4,122,230.8689,0,0,0.0000
3340,0,1,1,2,71,19.8310,0,0,0.0000
3350,0,1,1,4,94,64.4787,0,0,0.0000
3360,0,1,1,1,71,117.8873,0,0,0.0000
3380,0,1,1,2,75,234.0933,0,0,0.0000
3390,0,3,1,3,363,60.7934,3,3,47.3333
3400,0,1,1,1,71,27.3944,0,0,0.0000
3410,0,0,1,3,99,40.7071,0,0,0.0000
3420,0,0,1,1,67,7.9701,0,0,0.0000
3430,0,1,1,1,71,53.4930,0,0,0.0000
3440,0,1,1,2,73,47.0137,0,0,0.0000
3450,0,2,1,3,75,324.1600,1,1,20.0000
3460,0,0,1,2,67,128.8806,0,0,0.0000
3480,1,4,1,7,749,374.1736,4,4,331.0000
3483,0,3,1,4,666,72.7943,9,7,137.4444
3490,0,1,1,1,65,16.2769,0,0,0.0000
3500,0,0,1,2,68,48.3971,0,0,0.0000
3510,0,2,1,2,65,53.5077,0,0,0.0000
3520,0,0,1,2,70,32.4714,0,0,0.0000
3530,0,2,1,3,63,41.7619,0,0,0.0000
3540,0,3,1,4,525,318.3429,0,0,0.0000
3560,0,3,1,4,84,588.9048,0,0,0.0000
3570,0,0,1,2,63,12.0794,0,0,0.0000
3580,0,2,1,2,63,29.7460,0,0,0.0000
3590,1,4,2,20,2610,1321.7678,7,7,143.7143
3600,0,0,1,4,320,43.5344,0,0,0.0000
3610,0,0,1,2,54,31.8889,0,0,0.0000
3620,0,3,3,5,259,272.1236,2,2,27.5000
3700,0,2,2,13,1355,134.9690,3,1,169.3333
3710,0,3,3,10,220,92.3545,2,2,696.5000
3720,1,4,1,16,647,637.2581,3,3,189.6667
3730,0,3,2,15,535,163.1159,6,6,510.1667
3800,0,2,2,6,87,153.8391,1,1,109.0000
3810,0,2,2,8,148,110.7635,0,0,0.0000
3820,0,2,2,9,138,143.7174,0,0,0.0000
3830,1,4,5,20,3815,256.3064,13,13,350.7692
3900,0,3,3,17,3142,230.2753,6,6,291.6667
3910,0,3,3,13,3048,165.8586,5,5,319.2000
3920,0,3,1,20,2293,186.6991,4,4,193.7500
3960,0,0,2,2,70,14.4857,0,0,0.0000
3980,0,2,1,4,77,159.5584,0,0,0.0000
3990,0,3,1,5,2836,49.1312,0,0,0.0000
4000,1,4,11,20,42849,10312.2833,1735,1635,141.3037
4100,0,0,1,1,5,230.6000,0,0,0.0000
4230,0,2,2,2,223,363.0090,0,0,0.0000
4290,0,0,2,2,200,369.6900,0,0,0.0000
4300,0,2,3,5,110,24.9727,0,0,0.0000
4420,0,0,1,6,66,80.1667,0,0,0.0000
4460,0,0,1,3,39,137.0256,0,0,0.0000
4470,0,0,2,5,58,15.1552,0,0,0.0000
4500,1,3,2,20,2362,413.3374,8,6,256.5000
4520,0,0,3,4,341,18.6921,0,0,0.0000
4530,0,0,3,3,326,17.4141,0,0,0.0000
4560,1,3,5,20,7500,264.7201,23,23,219.6957
4570,0,4,4,15,4872,150.9111,12,12,93.5833
4580,1,4,3,18,3484,535.7425,12,12,413.0000
4700,1,4,3,20,3967,1269.7235,23,21,325.9565
4720,0,3,1,17,1049,43.1868,2,2,23.0000
4760,1,3,3,20,3836,784.1246,18,18,224.3333
4770,0,2,2,9,1361,66.1330,0,0,0.0000
4800,0,3,2,4,136,169.5956,0,0,0.0000
4850,1,3,2,5,147,313.5374,1,1,139.0000
4870,0,3,1,3,107,114.1402,0,0,0.0000
4880,0,2,1,3,146,39.7603,0,0,0.0000
4890,0,0,2,3,143,142.7133,0,0,0.0000
4900,0,3,1,3,10,15.4000,0,0,0.0000
4920,1,3,8,20,7618,820.5823,57,45,223.0526
6000,0,3,4,20,3684,178.8005,14,14,382.2857
6010,0,3,3,8,157,108.1274,0,0,0.0000
6020,1,3,5,20,4299,305.0765,14,14,176.5714
6030,0,3,5,19,3317,117.4203,3,3,85.0000
6040,0,3,2,14,150,55.7867,0,0,0.0000
6060,1,3,3,20,9128,574.7055,102,92,207.5686
6080,0,3,7,7,71,321.8028,0,0,0.0000
6090,0,3,2,6,32,19.1563,0,0,0.0000
6120,0,3,5,14,1095,77.8338,1,1,1693.0000
6200,0,3,1,11,399,107.7343,0,0,0.0000
6210,0,2,1,3,143,57.5245,1,1,283.0000
6220,0,3,2,10,604,70.4487,4,4,126.0000
6250,0,3,2,8,182,374.4121,0,0,0.0000
6300,0,3,1,12,210,96.3571,0,0,0.0000
6310,0,3,1,17,340,152.9412,2,2,638.0000
6370,0,3,3,9,394,46.0051,1,1,144.0000
6400,0,3,4,3,105,232.1905,0,0,0.0000
6420,0,3,3,14,137,224.7956,1,1,126.0000
6510,0,2,4,10,338,128.3669,0,0,0.0000
6550,0,0,2,20,569,117.3550,6,4,313.0000
6600,0,0,2,6,127,26.3622,0,0,0.0000
6800,0,3,3,13,731,43.5021,2,2,244.5000
6810,0,3,3,9,709,14.5331,0,0,0.0000
6830,0,3,3,13,868,51.0035,1,1,74.0000
6840,0,0,3,9,804,24.6878,0,0,0.0000
6850,0,3,1,15,3859,41.6090,3,3,122.0000
6860,0,3,1,20,4751,264.7723,15,15,91.2000
6870,0,2,1,9,1120,24.1071,1,-1,31.0000
6880,0,0,1,11,4606,42.0434,7,5,303.0000
6900,0,2,1,11,3420,23.3784,2,-2,82.5000
6910,0,4,2,20,3490,162.1413,17,13,503.0000
6920,0,0,1,18,2562,15.6600,0,0,0.0000
6980,0,3,1,16,1886,72.3112,3,1,471.6667
7000,0,3,2,12,2203,31.5279,2,2,196.5000
7010,0,2,2,4,190,11.9053,0,0,0.0000
7020,0,3,3,7,198,44.9343,1,1,122.0000
7110,0,2,2,18,345,209.2058,0,0,0.0000
7200,1,4,3,8,322,908.9658,3,1,241.6667
7210,0,2,1,5,238,50.9664,0,0,0.0000
7220,0,0,1,3,217,61.3548,0,0,0.0000
7260,0,0,2,3,40,52.8250,0,0,0.0000
7340,0,0,1,3,2,0.0000,0,0,0.0000
7510,0,0,3,13,1198,73.4883,3,3,73.3333
7520,0,0,11,20,1665,314.4865,5,1,122.8000
7530,0,0,1,3,467,25.6188,0,0,0.0000
7600,0,0,2,10,1601,133.6415,1,1,64.0000
7610,0,2,2,8,526,29.2605,0,0,0.0000
7620,0,3,1,7,89,9.2472,0,0,0.0000
7650,0,3,1,16,1656,30.0942,0,0,0.0000
7660,0,3,1,12,1656,42.0519,2,2,1104.0000
7670,1,3,2,20,10171,263.6479,71,69,296.2394
7730,0,0,2,6,1633,5.3840,1,1,133.0000
7760,0,4,1,20,1798,101.7036,3,3,101.0000
7770,0,0,2,6,1633,4.5132,1,1,1266.0000
7830,1,3,4,18,807,495.1747,5,1,186.8000
7840,0,0,2,2,152,18.1645,1,1,65.0000
7860,0,0,3,8,360,60.4250,2,2,331.0000
7940,0,3,2,20,1792,1358.5352,18,14,98.0000
8000,0,3,2,16,2216,45.0113,1,1,493.0000
8080,0,0,4,15,1230,28.5065,3,1,98.0000
8100,0,0,1,5,192,22.6198,0,0,0.0000
8140,0,2,1,15,2346,44.5959,1,-1,22.0000
8170,0,0,3,11,771,282.9857,4,0,81.0000
8190,1,3,4,20,16086,830.4220,180,164,134.1389
8200,0,3,1,7,532,90.8346,0,0,0.0000
8210,0,1,1,2,530,57.2302,0,0,0.0000
8220,0,1,1,3,530,37.1170,0,0,0.0000
8240,0,1,1,2,524,35.6527,0,0,0.0000
8250,0,1,1,2,524,29.2328,0,0,0.0000
8260,0,3,1,1,515,50.1689,0,0,0.0000
8270,0,1,1,1,514,32.7879,0,0,0.0000
8280,0,1,1,1,516,39.5523,0,0,0.0000
8290,0,1,1,1,514,30.3463,0,0,0.0000
8300,0,1,1,1,514,33.0564,0,0,0.0000
8310,0,0,1,2,143,10.2238,1,1,397.0000
8320,0,0,1,2,142,4.3944,0,0,0.0000
8330,0,0,1,2,146,2.2603,0,0,0.0000
8340,0,3,1,8,437,34.1625,1,1,107.0000
8400,0,3,2,16,468,157.9423,4,4,60.7500
8500,0,2,6,20,894,6371.6421,15,5,115.3333
8600,0,3,2,6,2986,144.6919,5,3,119.8000
8650,0,0,1,2,369,203.8238,0,0,0.0000
8660,0,1,3,5,2704,0.3587,0,0,0.0000
8690,0,1,3,2,207,357.1063,0,0,0.0000
8790,0,3,2,5,159,12.5723,0,0,0.0000
8800,1,4,1,9,2846,327.3465,2,2,215.5000
8850,0,3,4,20,8907,163.4580,17,13,373.7059
8870,1,4,5,20,11838,637.6081,266,246,260.2068
8880,0,0,2,9,819,41.3834,1,1,493.0000
8890,0,3,2,4,770,16.8026,0,0,0.0000
8930,1,4,5,20,15119,5369.8928,339,325,191.7198
8970,0,2,2,2,116,34.4052,1,-1,55.0000
8980,1,3,6,20,9025,1261.1712,44,44,162.8864
9000,0,3,2,8,898,3.7060,0,0,0.0000
9010,0,3,3,19,1222,83.8936,1,1,27.0000
9030,0,3,3,5,1048,8.3922,0,0,0.0000
9040,0,3,3,6,1050,8.8133,0,0,0.0000
9050,0,3,3,20,1213,160.7791,3,1,115.3333
9060,0,2,4,12,722,18.5679,0,0,0.0000
9070,0,3,4,11,970,24.0041,1,-1,174.0000
9160,0,3,2,16,1343,6.0127,1,1,137.0000
9180,0,3,2,9,841,21.7194,4,2,280.0000
9200,1,2,5,20,2562,547.8255,16,14,191.4375
9310,0,3,2,12,3245,90.2216,0,0,0.0000
9350,0,3,2,13,2618,139.6184,4,4,63.5000
9420,1,4,2,18,2904,752.7324,11,11,285.9091
9450,1,3,3,15,3411,1069.2345,11,9,412.6364
9460,0,0,3,9,547,180.3437,1,1,1671.0000
9480,0,2,2,20,7388,437.2703,37,29,229.6757
9500,0,2,2,9,560,21.9268,1,1,403.0000
9710,0,0,1,4,136,13.3824,0,0,0.0000
9730,0,-2,1,3,58,24.6897,1,-1,49.0000
9760,0,3,2,3,38,301.7368,0,0,0.0000
9800,0,2,2,8,258,57.0620,0,0,0.0000
9850,0,0,3,12,27,252.0741,0,0,0.0000
9880,0,2,4,20,1405,1434.4826,4,2,1162.0000
9900,1,2,5,20,2942,2513.0337,31,13,290.8065
9930,0,0,4,16,873,1161.6552,7,5,245.2857
9940,0,3,5,11,218,190.3119,2,2,35.0000
9960,0,0,2,1,17,21.1176,0,0,0.0000
9970,0,-2,2,2,15,51.1333,0,0,0.0000
9980,0,0,1,4,79,50.3291,0,0,0.0000
10090,1,3,3,20,3960,1886.2672,52,50,149.3462
10100,0,2,1,9,90,13.8889,0,0,0.0000
10110,0,2,1,11,136,27.1250,0,0,0.0000
10120,0,0,1,4,15,56.4667,0,0,0.0000
10130,0,2,2,13,328,116.1921,2,2,278.5000
10140,0,2,1,4,77,119.2597,1,1,436.0000
10150,0,3,1,20,1453,512.7584,9,9,80.7778
10180,1,3,6,20,5907,928.4188,94,78,175.7021
10220,0,-2,2,20,280,268.5107,7,-5,192.2857
10230,0,-2,1,2,21,40.1905,0,0,0.0000
10240,0,0,1,2,28,59.9643,0,0,0.0000
10250,0,0,2,1,25,32.1200,0,0,0.0000
10260,0,-2,2,2,23,101.4783,0,0,0.0000
10270,0,0,2,9,134,101.9701,0,0,0.0000
10460,0,0,3,2,86,16.6628,0,0,0.0000
10500,1,3,5,20,4215,2336.4168,37,37,153.2432
10520,0,0,3,1,1,0.0000,0,0,0.0000
10680,1,3,7,20,2319,631.3010,26,20,365.2692
11020,0,3,3,20,3253,360.8835,15,13,52.6000
11040,0,2,1,6,145,52.1241,0,0,0.0000
11050,0,0,1,4,96,37.5938,0,0,0.0000
11130,0,-2,1,5,202,16.8515,1,-1,3480.0000
11140,0,2,1,7,161,53.6025,1,1,2921.0000
11150,0,0,1,4,144,45.4375,0,0,0.0000
11190,0,2,1,6,157,112.4713,0,0,0.0000
11200,0,0,4,10,1032,55.4661,0,0,0.0000
11230,0,2,2,5,231,34.5022,4,2,666.5000
11240,0,0,4,10,554,29.5812,3,-1,128.0000
11250,0,0,3,3,158,45.8544,0,0,0.0000
11260,0,0,3,4,134,123.0597,1,-1,492.0000
11280,0,3,4,10,552,72.3442,6,6,39.1667
11330,0,3,2,8,512,26.2910,1,1,319.0000
11340,0,2,2,15,483,19.6149,1,1,26.0000
11360,0,2,1,9,508,13.0433,1,1,45.0000
11370,0,0,1,12,347,12.0605,0,0,0.0000
11390,0,0,1,9,1742,26.4506,3,-3,77.0000
11450,0,3,2,20,2775,142.5110,6,6,23.5000
11480,0,2,3,3,121,108.4463,0,0,0.0000
11560,0,0,1,2,103,52.5534,0,0,0.0000
11590,0,0,1,3,500,39.1040,3,1,329.3333
11610,0,2,4,12,1925,1538.7403,22,20,159.5000
11900,0,1,1,3,54,163.1296,0,0,0.0000
11920,0,0,1,0,27,101.9630,0,0,0.0000
12100,0,3,2,20,2491,121.6487,8,8,373.7500
12110,0,3,2,20,3327,242.4199,16,16,215.7500
12120,1,3,1,20,5505,577.5884,39,31,152.1538
12130,0,0,1,15,94,86.1809,1,1,463.0000
12140,0,3,1,20,1352,208.4016,4,4,82.5000
12150,0,3,1,17,1373,143.0524,2,-2,92.5000
12160,0,3,2,8,474,64.5211,1,1,1973.0000
12170,0,3,1,8,790,18.9570,0,0,0.0000
12180,0,3,1,11,790,10.7519,0,0,0.0000
12200,1,3,2,20,3101,448.6920,27,27,147.7407
12220,0,2,2,20,7794,525.2827,10,6,209.4000
12310,0,3,1,8,57,3.4912,0,0,0.0000
12320,0,3,1,15,243,302.2963,0,0,0.0000
12330,0,3,1,8,164,173.3232,1,1,14.0000
12340,0,0,2,3,73,106.1507,1,1,451.0000
12360,0,3,2,9,667,240.8201,3,3,84.3333
12390,0,0,3,3,43,20.2093,0,0,0.0000
12420,0,-2,2,2,55,29.7273,0,0,0.0000
12430,0,-2,1,2,48,70.9167,1,1,26.0000
12440,0,0,1,3,64,29.1250,0,0,0.0000
12450,0,0,1,2,51,38.0784,0,0,0.0000
12460,0,0,2,2,88,101.3068,0,0,0.0000
12470,0,0,1,6,131,282.5954,1,-1,119.0000
12480,0,0,1,5,104,703.2788,1,-1,90.0000
12500,1,3,3,11,184,695.7500,3,3,249.3333
12510,0,-3,1,2,110,284.4455,1,-1,205.0000
12520,0,2,1,4,129,190.6899,0,0,0.0000
12530,0,2,1,4,86,42.1860,0,0,0.0000
12540,0,0,1,2,31,16.3871,0,0,0.0000
12560,0,0,1,2,105,9.5143,0,0,0.0000
12570,0,0,1,1,29,1.6552,0,0,0.0000
12580,0,0,1,1,36,71.0833,0,0,0.0000
12590,0,0,2,1,87,85.8851,1,1,207.0000
12600,0,-1,1,1,95,5.6105,0,0,0.0000
12630,0,0,1,3,11,94.1818,0,0,0.0000
12640,0,3,1,12,129,82.2248,0,0,0.0000
12650,0,0,1,2,3,0.0000,0,0,0.0000
12660,0,0,1,2,3,10.0000,0,0,0.0000
12670,0,0,1,2,32,0.0313,0,0,0.0000
12690,0,2,1,4,112,46.3304,0,0,0.0000
12710,0,3,2,13,2112,141.2666,0,0,0.0000
12770,0,2,2,7,1033,14.6292,0,0,0.0000
12790,0,0,3,9,197,73.2487,0,0,0.0000
12810,0,3,1,20,2346,242.7050,2,2,46.5000
12830,0,0,2,17,1914,103.4848,5,1,125.4000
12900,0,4,4,20,4510,382.2277,40,38,96.9000
13000,0,1,3,3,48,46.5833,0,0,0.0000
13200,0,2,1,8,931,26.3921,0,0,0.0000
13210,1,3,4,20,1734,378.4152,4,4,251.0000
13230,0,4,3,18,1283,268.9735,6,6,179.0000
13240,0,4,2,18,1128,182.0567,0,0,0.0000
13250,0,4,2,17,940,25.5511,1,1,63.0000
13500,0,3,1,17,444,89.7432,1,1,102.0000
13520,0,3,1,18,3157,103.1847,5,3,241.0000
13530,0,2,2,15,457,66.6433,0,0,0.0000
13540,0,2,2,11,668,33.6632,1,-1,9.0000
13560,0,3,1,11,507,155.0868,2,-2,177.5000
13570,0,3,1,14,648,205.7083,5,5,313.2000
13580,0,0,2,7,501,118.4631,0,0,0.0000
13600,0,3,1,15,585,107.1504,3,3,428.0000
13620,0,1,2,5,336,16.0952,0,0,0.0000
13630,0,1,0,4,338,14.9556,0,0,0.0000
15000,0,0,2,5,225,22.2489,1,-1,99.0000
15080,0,2,1,7,29,128.5517,0,0,0.0000
15100,1,3,2,20,2065,422.5506,4,4,229.5000
15120,0,3,3,19,958,393.2380,4,4,76.0000
15130,0,3,1,17,358,140.0307,2,2,587.5000
15160,1,0,1,4,17,3588.2941,0,0,0.0000
15170,0,3,1,10,441,819.4240,1,1,30.0000
15190,0,3,1,13,262,211.9008,0,0,0.0000
15200,0,0,2,4,99,395.5657,1,1,36.0000
15210,0,3,3,8,131,613.9695,0,0,0.0000
15240,0,3,2,3,63,228.0159,0,0,0.0000
15270,0,3,1,6,31,59.4194,0,0,0.0000
15300,0,3,2,15,394,104.6091,1,1,38.0000
15310,0,2,1,4,30,770.3333,0,0,0.0000
15320,1,3,4,11,502,384.0777,9,7,449.2222
15350,0,0,3,1,4,0.0000,0,0,0.0000
15370,0,3,1,7,365,389.1753,0,0,0.0000
15380,0,2,1,4,352,58.5540,0,0,0.0000
15390,0,3,1,15,302,242.7483,3,3,461.0000
15400,0,2,2,5,110,111.5727,0,0,0.0000
15500,0,2,3,8,433,78.7875,0,0,0.0000
15520,0,3,3,12,507,209.3728,2,2,353.0000
15620,1,3,5,20,5999,1004.4407,16,14,159.7500
15700,0,3,2,17,3007,87.8134,18,18,114.8333
15710,0,3,1,15,1423,106.8060,5,5,370.4000
15740,0,2,4,8,928,67.7112,0,0,0.0000
15750,0,3,2,12,908,114.7159,5,3,376.2000
15800,0,0,3,2,1,0.0000,0,0,0.0000
15900,0,1,1,4,45,7.6889,0,0,0.0000
15910,0,0,1,1,27,29.3704,0,0,0.0000
15920,0,0,1,1,38,146.4474,0,0,0.0000
15930,0,1,1,2,59,65.9661,0,0,0.0000
15950,0,2,1,2,67,45.5224,0,0,0.0000
15960,0,2,1,4,74,67.6216,0,0,0.0000
15970,0,0,1,2,27,155.4444,0,0,0.0000
16000,0,0,1,2,57,24.0526,0,0,0.0000
16020,0,0,1,4,42,0.0714,0,0,0.0000
16030,0,1,1,3,42,55.6905,0,0,0.0000
16040,0,0,1,1,32,92.7813,0,0,0.0000
16060,0,0,1,4,30,0.9000,0,0,0.0000
16100,0,2,1,2,31,115.2258,0,0,0.0000
16110,0,2,1,2,24,574.0417,0,0,0.0000
16120,0,1,1,3,28,1397.9286,1,1,311.0000
16130,0,2,1,3,36,683.1111,0,0,0.0000
16180,0,1,1,2,32,342.5938,0,0,0.0000
16200,0,2,1,2,5,649.2000,0,0,0.0000
16300,0,3,2,7,99,32.6465,0,0,0.0000
16450,0,3,2,14,4548,114.6759,1,1,126.0000
16500,0,0,2,3,9,2.4444,0,0,0.0000
16600,1,3,3,3,266,357.3571,1,1,161.0000
16620,0,0,1,3,45,168.4667,0,0,0.0000
16710,0,2,1,11,350,9.5714,2,2,41.5000
16720,0,0,2,11,610,40.7525,3,3,248.6667
16810,0,2,2,8,2841,42.7786,1,1,1224.0000
17080,0,2,2,20,6176,489.8690,64,52,103.1250
17100,0,3,2,7,81,671.9012,1,1,111.0000
17120,0,1,2,7,66,294.6515,0,0,0.0000
17140,0,2,2,7,66,233.1818,0,0,0.0000
17180,0,2,2,2,14,65.1429,0,0,0.0000
17300,1,3,1,20,2483,372.7994,10,6,268.7000
17330,0,3,1,14,1621,112.5867,3,3,54.3333
17390,1,3,1,20,3772,899.8998,36,30,191.0556
17410,1,3,3,20,10729,265.9623,74,60,140.0270
17430,0,0,3,11,1062,486.7100,1,1,67.0000
17440,0,3,1,13,1561,178.1192,2,2,9.5000
17450,0,3,1,20,1743,1459.4509,4,4,92.0000
17460,1,3,1,20,3231,887.6883,17,17,493.8235
17470,0,3,2,20,7158,129.7527,19,19,152.8421
17480,0,3,1,18,1538,1013.2594,12,10,134.0000
17570,1,3,11,20,1731,352.2028,12,12,91.0000
17580,0,3,5,15,572,116.6591,3,3,127.0000
17710,0,3,11,11,1489,246.5514,6,0,406.6667
18000,0,3,2,6,656,107.3582,1,1,159.0000
18020,0,3,2,6,569,84.8260,2,2,228.0000
18040,0,3,6,9,367,158.8583,1,1,142.0000
18050,0,3,6,8,291,110.6117,0,0,0.0000
18070,0,2,6,7,428,66.0491,0,0,0.0000
18120,0,2,4,9,218,26.0917,1,1,185.0000
18300,0,2,4,3,214,108.0607,0,0,0.0000
18400,0,0,2,5,365,105.0164,0,0,0.0000
18420,0,3,1,4,146,55.1233,0,0,0.0000
18430,0,0,1,4,1,0.0000,0,0,0.0000
18470,0,0,1,2,96,23.1979,0,0,0.0000
18480,0,0,1,6,97,6.9794,0,0,0.0000
18500,0,4,4,11,1316,938.0524,3,3,65.0000
18600,0,2,3,2,24,895.2083,0,0,0.0000
18700,0,2,3,9,1020,34.9176,3,-1,145.6667
18820,0,3,7,6,374,120.6925,3,3,60.0000
19000,0,0,1,11,143,166.8392,1,1,36.0000
19030,0,2,5,3,23,107.2609,0,0,0.0000
19080,0,0,1,3,6,17.6667,0,0,0.0000
19200,0,0,2,9,434,20.0461,0,0,0.0000
19320,0,0,6,3,31,14.7097,0,0,0.0000
19500,0,-1,4,3,46,33.7391,1,-1,9.0000
19800,0,3,1,7,242,136.3884,0,0,0.0000
19810,0,1,2,2,6,2.8333,0,0,0.0000
19830,0,3,1,11,336,154.1637,1,1,20.0000
19900,0,2,2,20,4096,286.1025,13,5,216.6923
19930,0,2,1,6,64,914.6094,0,0,0.0000
19980,0,2,1,14,563,72.8313,0,0,0.0000
20200,0,0,4,4,3,230.6667,0,0,0.0000
20500,1,3,7,20,3135,383.6555,16,12,284.5625
20510,1,3,2,20,1602,315.1742,9,7,223.0000
20530,0,3,3,10,2124,54.6248,3,3,78.0000
20540,0,3,3,10,5296,277.8982,2,2,224.0000
20550,0,0,2,9,2030,19.4729,0,0,0.0000
20570,0,3,4,13,5066,649.7742,7,5,69.0000
20700,0,2,2,5,43,221.3023,0,0,0.0000
20710,0,3,2,5,88,56.2159,0,0,0.0000
20820,0,3,6,16,960,56.5479,0,0,0.0000
20900,1,3,2,20,5890,419.9993,24,22,435.6667
20920,1,3,6,20,9637,501.6483,40,34,293.1250
21000,0,3,3,16,648,260.1019,4,2,170.5000
21010,0,0,3,6,110,70.1545,0,0,0.0000
21030,0,0,3,3,94,33.3830,0,0,0.0000
21090,0,3,1,17,3555,97.3120,9,9,421.6667
