item_id,spec_name
111915,Steam Achievements
111915,Steam Cloud
111915,Full controller support
111915,Steam Leaderboards
111915,Steam Trading Cards
111915,Single-player
111915,Multi-player
111915,Downloadable Content
111915,Stats
111916,Multi-player
111916,Steam Cloud
111916,Steam Leaderboards
111916,Full controller support
111916,Downloadable Content
111916,Single-player
111916,Stats
111916,Steam Trading Cards
111916,Steam Achievements
11200,Steam Trading Cards
11200,Includes level editor
11200,Single-player
11200,Shared/Split Screen
112100,Stats
112100,Steam Achievements
112100,Single-player
11230,Multi-player
11230,Single-player
11240,Single-player
11240,Co-op
11240,Steam Achievements
11240,Multi-player
11250,Multi-player
11250,Single-player
11250,Steam Trading Cards
11260,Single-player
11260,Multi-player
11260,Steam Trading Cards
11280,Online Multi-Player
11280,Multi-player
11280,Steam Trading Cards
11280,Single-player
113020,Single-player
113020,Steam Workshop
113020,Includes level editor
113020,Co-op
113020,Steam Achievements
113020,Steam Cloud
113020,Cross-Platform Multiplayer
113020,Full controller support
113020,Multi-player
113020,Steam Leaderboards
113020,Shared/Split Screen
113020,Steam Trading Cards
113200,Steam Achievements
113200,Single-player
113200,Steam Trading Cards
113204,Single-player
113204,Downloadable Content
11330,Single-player
11330,Steam Achievements
11340,Single-player
11340,Steam Achievements
113400,Steam Achievements
113400,MMO
113400,Multi-player
113404,Downloadable Content
113405,Multi-player
113405,MMO
113405,Downloadable Content
113405,Steam Achievements
113420,Steam Achievements
113420,Multi-player
113420,MMO
113420,Co-op
11360,Single-player
11370,Single-player
11390,Single-player
11450,Partial Controller Support
11450,Single-player
11480,Single-player
11480,Multi-player
11480,Co-op
115100,Steam Achievements
115100,Partial Controller Support
115100,Steam Trading Cards
115100,Single-player
115100,Steam Cloud
115110,Single-player
115110,Partial Controller Support
115120,Co-op
115120,Full controller support
115120,Steam Leaderboards
115120,Captions available
115120,Multi-player
115120,Steam Cloud
115120,Steam Achievements
115120,Single-player
115200,Single-player
115210,Single-player
115220,Single-player
115300,Multi-player
115300,Valve Anti-Cheat enabled
115300,Single-player
115300,Steam Cloud
115300,Steam Achievements
115300,Co-op
115320,Steam Achievements
115320,Single-player
115320,Steam Leaderboards
115320,Steam Cloud
115320,Stats
115340,Single-player
115340,Downloadable Content
11560,Single-player
115800,Steam Cloud
115800,Steam Trading Cards
115800,Single-player
115800,Steam Achievements
115800,Full controller support
115800,Steam Leaderboards
11590,Single-player
11610,Co-op
11610,MMO
11610,Single-player
11610,Multi-player
116100,Partial Controller Support
116100,Steam Achievements
116100,Steam Workshop
116100,Single-player
116100,Stats
116100,Steam Trading Cards
116100,Steam Cloud
116100,Multi-player
116100,Includes level editor
116100,Steam Leaderboards
116100,Shared/Split Screen
116120,Steam Leaderboards
116120,Single-player
116120,Full controller support
116120,Steam Achievements
11900,Single-player
11920,Single-player
1200,Valve Anti-Cheat enabled
1200,Steam Achievements
1200,Multi-player
12100,Single-player
12100,Partial Controller Support
12110,Partial Controller Support
12110,Single-player
12120,Single-player
12130,Single-player
12140,Single-player
12150,Single-player
12160,Multi-player
12160,Single-player
12170,Single-player
12180,Single-player
12200,Single-player
12200,Partial Controller Support
12220,Multi-player
12220,Single-player
1230,Mods
1230,Multi-player
1230,Steam Achievements
12310,Single-player
12320,Single-player
12330,Single-player
12340,Steam Trading Cards
12340,Single-player
12360,Single-player
12360,Multi-player
12390,Partial Controller Support
12390,Multi-player
12390,Single-player
12420,Multi-player
12420,Single-player
12430,Single-player
12440,Single-player
12450,Single-player
12460,Single-player
12460,Multi-player
12470,Single-player
12480,Single-player
1250,Steam Workshop
1250,Multi-player
1250,Co-op
1250,Stats
1250,Valve Anti-Cheat enabled
1250,Includes level editor
1250,Single-player
1250,Steam Trading Cards
1250,Steam Achievements
1250,Cross-Platform Multiplayer
12500,Multi-player
12500,Steam Cloud
12500,Single-player
12510,Single-player
12520,Single-player
12530,Single-player
12540,Single-player
1256,Downloadable Content
1256,Co-op
1256,Multi-player
1256,Single-player
12560,Single-player
1257,Downloadable Content
1257,Co-op
1257,Single-player
1257,Multi-player
12570,Single-player
12580,Single-player
12590,Single-player
12590,Multi-player
12600,Single-player
12630,Single-player
12640,Single-player
12650,Single-player
12660,Single-player
12670,Single-player
12690,Single-player
12710,Single-player
12710,Partial Controller Support
12770,Full controller support
12770,Single-player
12790,Multi-player
12790,Single-player
12790,Co-op
1280,Mods
1280,Includes level editor
1280,Multi-player
1280,Partial Controller Support
12810,Single-player
12830,Single-player
12830,Partial Controller Support
12900,Full controller support
12900,Single-player
12900,Co-op
12900,Steam Achievements
130,Single-player
1300,Single-player
1300,Stats
13000,Single-player
13000,Steam Achievements
13000,Multi-player
13200,Single-player
13210,Steam Achievements
13210,Single-player
13210,Multi-player
13210,Co-op
13230,Single-player
13230,Steam Trading Cards
13230,Multi-player
13240,Multi-player
13240,Single-player
13250,Single-player
13250,Multi-player
13500,Single-player
13520,Single-player
13530,Partial Controller Support
13530,Single-player
13540,Multi-player
13540,Single-player
13560,Single-player
13570,Single-player
13580,Multi-player
13580,Single-player
13600,Single-player
13620,Single-player
13620,Multi-player
1500,Single-player
15000,Single-player
15000,Multi-player
15080,Single-player
1510,Single-player
15100,Partial Controller Support
15100,Single-player
15120,Multi-player
15120,Co-op
15120,Single-player
15130,Single-player
15160,Single-player
15170,Single-player
15190,Single-player
1520,Single-player
1520,Multi-player
15200,Single-player
15200,Multi-player
15210,Multi-player
15210,Single-player
15210,Co-op
15240,Single-player
15240,Multi-player
15270,Single-player
1530,Multi-player
1530,Steam Achievements
1530,Single-player
15300,Single-player
15300,Co-op
15310,Single-player
15320,Single-player
15320,Steam Cloud
15320,Includes level editor
15320,Multi-player
15350,Co-op
15350,Single-player
15350,Multi-player
15370,Single-player
15380,Single-player
15390,Single-player
15400,Single-player
15400,Steam Achievements
15500,Partial Controller Support
15500,Steam Achievements
15500,Single-player
15520,Steam Leaderboards
15520,Steam Achievements
15520,Single-player
15522,Downloadable Content
15522,Single-player
15620,Co-op
15620,Single-player
15620,Multi-player
15620,Steam Trading Cards
15620,Steam Cloud
15700,Steam Trading Cards
15700,Single-player
15710,Single-player
15740,Steam Achievements
15740,Single-player
15740,Steam Trading Cards
15740,Partial Controller Support
15750,Single-player
15750,Steam Achievements
15800,Single-player
15800,Partial Controller Support
15800,Steam Achievements
15900,Single-player
15910,Single-player
15920,Single-player
15930,Single-player
15950,Single-player
15960,Single-player
15970,Single-player
1600,Multi-player
1600,Single-player
16000,Single-player
16020,Single-player
16030,Single-player
16040,Single-player
16060,Single-player
1610,Single-player
1610,Multi-player
16100,Single-player
16110,Single-player
16120,Single-player
16130,Single-player
16180,Single-player
1620,Single-player
16200,Single-player
1630,Multi-player
1630,Single-player
1630,Co-op
16300,Partial Controller Support
16300,Single-player
1640,Single-player
1640,Multi-player
1640,Co-op
16450,Multi-player
16450,Single-player
16465,Single-player
16465,Multi-player
16465,Downloadable Content
16500,Single-player
16500,Steam Achievements
16600,Multi-player
16600,Steam Achievements
16600,Single-player
16620,Single-player
1670,Multi-player
1670,Single-player
16710,Single-player
16720,Partial Controller Support
16720,Single-player
16810,Multi-player
16810,Single-player
16860,Single-player
16860,Steam Achievements
16860,Downloadable Content
16860,Steam Cloud
16861,Downloadable Content
16861,Steam Cloud
16861,Single-player
16861,Steam Achievements
16862,Downloadable Content
16862,Steam Achievements
16862,Single-player
16862,Steam Cloud
16863,Single-player
16863,Steam Achievements
16863,Steam Cloud
16863,Downloadable Content
16866,Downloadable Content
16866,Single-player
16866,Steam Cloud
16866,Steam Achievements
16867,Single-player
16867,Downloadable Content
16867,Steam Cloud
16867,Steam Achievements
16868,Single-player
16868,Downloadable Content
16868,Steam Cloud
16868,Steam Achievements
16870,Steam Achievements
16870,Multi-player
16870,Steam Cloud
16870,Single-player
16870,Downloadable Content
1690,Single-player
1690,Multi-player
1700,Single-player
17080,Multi-player
17080,Co-op
17100,Single-player
17100,Steam Achievements
17120,Single-player
17120,Steam Achievements
17140,Steam Achievements
17140,Single-player
17180,Steam Achievements
17180,Single-player
17300,Single-player
17330,Single-player
17390,Single-player
17410,Full controller support
17410,Partial Controller Support
17410,Single-player
17430,Single-player
17430,Multi-player
17430,Partial Controller Support
17440,Single-player
17450,Single-player
17460,Single-player
17470,Single-player
17470,Full controller support
17480,Single-player
17500,Multi-player
17500,Valve Anti-Cheat enabled
17500,Includes Source SDK
17500,Steam Workshop
17500,Steam Achievements
17500,Includes level editor
17500,Co-op
17500,Mods (require HL2)
17500,Mods
17510,Mods
17510,Co-op
17510,Mods (require HL2)
17510,Steam Achievements
17510,Multi-player
17520,Mods
17520,Cross-Platform Multiplayer
17520,Mods (require HL2)
17520,Multi-player
17520,Online Multi-Player
17520,Includes level editor
17520,Co-op
17520,Steam Workshop
17520,Captions available
17520,Partial Controller Support
17520,Online Co-op
17520,Valve Anti-Cheat enabled
17520,Includes Source SDK
17530,Mods
17530,Steam Achievements
17530,Multi-player
17530,Mods (require HL2)
17550,Mods (require HL2)
17550,Multi-player
17570,Cross-Platform Multiplayer
17570,Includes level editor
17570,Steam Workshop
17570,Stats
17570,Steam Cloud
17570,Valve Anti-Cheat enabled
17570,Multi-player
17570,Includes Source SDK
17570,Online Multi-Player
17570,Steam Achievements
17570,Mods
17580,Steam Achievements
17580,Stats
17580,Steam Cloud
17580,Multi-player
17580,Mods (require HL2)
17700,Multi-player
17700,Mods
17700,Valve Anti-Cheat enabled
17700,Mods (require HL2)
17710,Steam Leaderboards
17710,Cross-Platform Multiplayer
17710,Steam Trading Cards
17710,Steam Workshop
17710,Multi-player
17710,Valve Anti-Cheat enabled
17710,Includes level editor
17710,Steam Cloud
17710,Partial Controller Support
17710,Stats
17710,Steam Achievements
17730,Multi-player
17730,Mods (require HL2)
17730,Mods
17740,Includes Source SDK
17740,Steam Cloud
17740,Multi-player
17740,Includes level editor
18000,Single-player
18000,Steam Achievements
18020,Single-player
18020,Steam Achievements
18040,Single-player
18040,Steam Leaderboards
18040,Partial Controller Support
18040,Shared/Split Screen
18040,Steam Cloud
18040,Steam Achievements
18050,Steam Leaderboards
18050,Steam Cloud
18050,Single-player
18050,Partial Controller Support
18050,Shared/Split Screen
18050,Steam Achievements
18070,Steam Achievements
18070,Single-player
18070,Partial Controller Support
18070,Steam Cloud
18070,Steam Leaderboards
18070,Shared/Split Screen
18080,Steam Cloud
18080,Downloadable Content
18080,Single-player
18080,Steam Leaderboards
18080,Shared/Split Screen
18080,Steam Achievements
18120,Steam Leaderboards
18120,Steam Cloud
18120,Steam Achievements
18120,Single-player
18300,Steam Achievements
18300,Partial Controller Support
18300,Steam Trading Cards
18300,Single-player
1840,Steam Workshop
18400,Single-player
18400,Steam Trading Cards
18407,Single-player
18407,Downloadable Content
18408,Downloadable Content
18408,Single-player
18420,Single-player
18430,Single-player
18440,Single-player
18440,Downloadable Content
18470,Single-player
18480,Single-player
18500,Steam Achievements
18500,Steam Trading Cards
18500,Full controller support
18500,Single-player
18508,Single-player
18508,Steam Achievements
18508,Steam Leaderboards
18508,Partial Controller Support
18508,Stats
18508,Downloadable Content
18509,Partial Controller Support
18509,Steam Leaderboards
18509,Single-player
18509,Stats
18509,Downloadable Content
18509,Steam Achievements
18520,Partial Controller Support
18520,Single-player
18520,Stats
18520,Downloadable Content
18520,Steam Achievements
18520,Steam Leaderboards
18521,Downloadable Content
18521,Single-player
18521,Partial Controller Support
18521,Stats
18521,Steam Leaderboards
18521,Steam Achievements
18522,Single-player
18522,Stats
18522,Steam Achievements
18522,Steam Leaderboards
18522,Downloadable Content
18522,Partial Controller Support
18523,Single-player
18523,Steam Achievements
18523,Full controller support
18523,Downloadable Content
18600,Single-player
18600,Steam Achievements
18600,Multi-player
18700,Steam Achievements
18700,Partial Controller Support
18700,Single-player
18820,Single-player
18820,Steam Cloud
18820,Multi-player
18820,Stats
18820,Partial Controller Support
18820,Steam Achievements
18820,Steam Trading Cards
1900,Co-op
1900,Steam Trading Cards
1900,Single-player
1900,Multi-player
1900,Cross-Platform Multiplayer
19000,Single-player
19030,Single-player
19030,Steam Achievements
19030,Steam Leaderboards
19030,Partial Controller Support
19030,Steam Cloud
19080,Single-player
19200,Steam Achievements
19200,Single-player
1930,Steam Trading Cards
1930,Online Multi-Player
1930,Online Co-op
1930,Single-player
1930,Partial Controller Support
1930,Cross-Platform Multiplayer
1930,Multi-player
19320,Stats
19320,Partial Controller Support
19320,Steam Leaderboards
19320,Single-player
19320,Steam Cloud
19320,Steam Achievements
19500,Single-player
19500,Steam Achievements
19500,Partial Controller Support
19500,Includes level editor
19800,Single-player
19810,Single-player
19810,Multi-player
19830,Single-player
19900,Single-player
19900,Multi-player
19930,Single-player
19980,Single-player
20,Multi-player
20,Valve Anti-Cheat enabled
200010,Steam Leaderboards
200010,Single-player
200010,Steam Cloud
200010,Full controller support
200010,Steam Achievements
200020,Steam Achievements
200020,Multi-player
200020,Single-player
200050,Steam Achievements
200050,Online Multi-Player
200050,Steam Workshop
200050,Includes level editor
200050,Single-player
200050,Multi-player
200080,Single-player
200130,Single-player
200150,Cross-Platform Multiplayer
200150,Steam Achievements
200150,Single-player
200150,Multi-player
200170,Partial Controller Support
200170,Steam Trading Cards
200170,Steam Achievements
200170,Steam Cloud
200170,Co-op
200170,Shared/Split Screen
200170,Multi-player
200170,Steam Leaderboards
200170,Single-player
200185,Steam Leaderboards
200185,Partial Controller Support
200185,Multi-player
200185,Steam Cloud
200185,Co-op
200185,Single-player
200185,Shared/Split Screen
200185,Steam Achievements
200185,Downloadable Content
200188,Steam Cloud
200188,Partial Controller Support
200188,Steam Achievements
200188,Steam Leaderboards
200188,Multi-player
200188,Downloadable Content
200188,Single-player
200188,Shared/Split Screen
200188,Co-op
200189,Multi-player
200189,Downloadable Content
200189,Co-op
200189,Steam Achievements
200189,Shared/Split Screen
200189,Steam Leaderboards
200189,Single-player
200189,Partial Controller Support
200189,Steam Cloud
200190,Shared/Split Screen
200190,Partial Controller Support
200190,Steam Leaderboards
200190,Steam Cloud
200190,Steam Achievements
200190,Single-player
200210,Stats
200210,Multi-player
200210,MMO
200210,Co-op
200210,Cross-Platform Multiplayer
200210,Steam Achievements
200230,Multi-player
200230,Single-player
200230,Steam Cloud
200260,Steam Cloud
200260,Partial Controller Support
200260,Steam Achievements
200260,Single-player
200260,Steam Trading Cards
200300,Downloadable Content
200300,Multi-player
200300,Single-player
200310,Multi-player
200310,Downloadable Content
200370,Single-player
200390,Steam Achievements
200390,Stats
200390,Cross-Platform Multiplayer
200390,Steam Cloud
200390,Steam Leaderboards
200390,Multi-player
200390,Single-player
200396,Downloadable Content
200396,Multi-player
200396,Single-player
200396,Stats
200396,Steam Leaderboards
200396,Steam Cloud
200396,Cross-Platform Multiplayer
200396,Steam Achievements
200397,Downloadable Content
200410,Stats
200410,Steam Cloud
200410,Steam Achievements
200410,Single-player
200410,Steam Leaderboards
200410,Partial Controller Support
200440,Multi-player
200440,Single-player
200440,Downloadable Content
200490,Single-player
200510,Single-player
200510,Cross-Platform Multiplayer
200510,Steam Cloud
200510,Steam Trading Cards
200510,Multi-player
200510,Full controller support
200510,Steam Achievements
200550,Multi-player
200550,Single-player
200550,Steam Achievements
200590,Downloadable Content
200590,Steam Cloud
200590,Stats
200590,Partial Controller Support
200590,Single-player
200590,Steam Leaderboards
200590,Steam Achievements
200610,Shared/Split Screen
200610,Multi-player
200610,Steam Leaderboards
200610,Co-op
200610,Single-player
200610,Steam Achievements
200610,Partial Controller Support
200610,Downloadable Content
200620,Co-op
200620,Steam Leaderboards
200620,Partial Controller Support
200620,Single-player
200620,Multi-player
200620,Shared/Split Screen
200620,Downloadable Content
200620,Steam Achievements
200670,Single-player
200710,Multi-player
200710,Steam Cloud
200710,Steam Workshop
200710,Single-player
200710,Steam Trading Cards
200710,Steam Achievements
200710,Cross-Platform Multiplayer
200710,Co-op
200860,Downloadable Content
200860,Single-player
200870,Single-player
200870,Downloadable Content
200880,Single-player
200880,Downloadable Content
200890,Downloadable Content
200890,Single-player
200891,Steam Achievements
200891,Downloadable Content
200891,Single-player
200891,Steam Cloud
200891,Partial Controller Support
200910,Steam Achievements
200910,Single-player
200910,Steam Cloud
200910,Steam Trading Cards
200910,Full controller support
200940,Single-player
200960,Single-player
200980,Single-player
200990,Single-player
201000,Single-player
201010,Single-player
201040,Steam Trading Cards
201040,Stats
201040,Steam Cloud
201040,Steam Achievements
201040,Single-player
201070,Partial Controller Support
201070,Valve Anti-Cheat enabled
201070,Steam Cloud
201070,Single-player
201070,Stats
201070,Steam Achievements
201070,Co-op
201070,Cross-Platform Multiplayer
201070,Multi-player
201100,Steam Leaderboards
201100,Steam Achievements
201100,Downloadable Content
201100,Single-player
201100,Multi-player
201100,Partial Controller Support
201210,Steam Trading Cards
201210,Multi-player
201210,Single-player
201230,MMO
201230,Multi-player
201270,Stats
201270,Multi-player
201270,Co-op
201270,Valve Anti-Cheat enabled
201270,Single-player
201270,Steam Trading Cards
201270,Steam Cloud
201270,Steam Achievements
201271,Co-op
201271,Single-player
201271,Multi-player
201272,Downloadable Content
201272,Co-op
201272,Multi-player
201272,Single-player
201273,Single-player
201273,Co-op
201273,Multi-player
201273,Downloadable Content
201274,Single-player
201274,Co-op
201274,Multi-player
201274,Downloadable Content
201275,Downloadable Content
201275,Multi-player
201275,Single-player
201275,Co-op
201276,Downloadable Content
201276,Single-player
201276,Co-op
201276,Multi-player
201277,Co-op
201277,Steam Achievements
201277,Multi-player
201277,Steam Cloud
201277,Single-player
201277,Stats
201277,Downloadable Content
201279,Steam Achievements
201279,Multi-player
201279,Stats
201279,Steam Cloud
201279,Valve Anti-Cheat enabled
201279,Downloadable Content
201279,Single-player
201310,Steam Achievements
201310,Steam Cloud
201310,Captions available
201310,Downloadable Content
201310,Full controller support
201310,Single-player
201420,Steam Achievements
201420,Steam Cloud
201420,Steam Workshop
201420,Full controller support
201420,Single-player
201420,Includes level editor
201420,Steam Trading Cards
201480,Single-player
201490,Single-player
201510,Partial Controller Support
201510,Multi-player
201510,Single-player
201510,Co-op
201570,Single-player
201570,Partial Controller Support
201570,Steam Trading Cards
201570,Steam Cloud
201570,Shared/Split Screen
201790,Co-op
201790,Steam Achievements
201790,Steam Cloud
201790,Full controller support
201790,Steam Leaderboards
201790,Single-player
201790,Steam Trading Cards
201802,Steam Leaderboards
201802,Co-op
201802,Downloadable Content
201802,Single-player
201802,Partial Controller Support
201802,Steam Cloud
